# SAXS profile: number of points = 380, q_min = 0.0151024, q_max = 0.361593, delta_q = 0.000914223218997361
# offset = 0.00000000000000, scaling c = 0.000391821599637437, Chi = 1.13023685931554
#  q       exp_intensity   model_intensity
0.35062    3.84666000      4.00741238     
0.35154    4.42276000      4.01163078     
0.35245    4.34075000      4.01604837     
0.35336    4.21405000      4.02063492     
0.35428    4.13080000      4.02541545     
0.35519    4.25003000      4.03050668     
0.35611    4.44405000      4.03589273     
0.35702    4.43886000      4.04119619     
0.35794    4.38470000      4.04683264     
0.35885    4.55129000      4.05274969     
0.35976    4.14028000      4.05864562     
0.36068    3.92416000      4.06470510     
0.36159    4.16781000      4.07102236     
