           ####      Real Space Data                               ####

           Distance distribution  function of particle  


      R          P(R)      ERROR
  0.3947E+02  0.8293E-01  0.1056E-02
  0.3978E+02  0.8249E-01  0.1074E-02
  0.4009E+02  0.8199E-01  0.1094E-02
  0.4040E+02  0.8145E-01  0.1114E-02
  0.4070E+02  0.8086E-01  0.1135E-02
  0.4101E+02  0.8022E-01  0.1157E-02
  0.4132E+02  0.7952E-01  0.1179E-02
  0.4163E+02  0.7877E-01  0.1201E-02
  0.4194E+02  0.7797E-01  0.1222E-02
  0.4225E+02  0.7711E-01  0.1243E-02
  0.4256E+02  0.7620E-01  0.1263E-02
  0.4286E+02  0.7523E-01  0.1282E-02
  0.4317E+02  0.7422E-01  0.1300E-02
  0.4348E+02  0.7315E-01  0.1316E-02
  0.4379E+02  0.7204E-01  0.1331E-02
  0.4410E+02  0.7088E-01  0.1343E-02
  0.4441E+02  0.6968E-01  0.1354E-02
  0.4471E+02  0.6843E-01  0.1363E-02
  0.4502E+02  0.6715E-01  0.1370E-02
  0.4533E+02  0.6584E-01  0.1375E-02
  0.4564E+02  0.6449E-01  0.1378E-02
  0.4595E+02  0.6311E-01  0.1378E-02
  0.4626E+02  0.6171E-01  0.1377E-02
  0.4656E+02  0.6029E-01  0.1375E-02
  0.4687E+02  0.5885E-01  0.1370E-02
  0.4718E+02  0.5740E-01  0.1365E-02
  0.4749E+02  0.5594E-01  0.1358E-02
  0.4780E+02  0.5447E-01  0.1350E-02
  0.4811E+02  0.5300E-01  0.1342E-02
  0.4841E+02  0.5153E-01  0.1333E-02
  0.4872E+02  0.5007E-01  0.1324E-02
  0.4903E+02  0.4862E-01  0.1315E-02
  0.4934E+02  0.4718E-01  0.1307E-02
  0.4965E+02  0.4576E-01  0.1299E-02
  0.4996E+02  0.4435E-01  0.1292E-02
  0.5026E+02  0.4297E-01  0.1286E-02
  0.5057E+02  0.4161E-01  0.1281E-02
  0.5088E+02  0.4027E-01  0.1278E-02
  0.5119E+02  0.3897E-01  0.1275E-02
  0.5150E+02  0.3770E-01  0.1274E-02
  0.5181E+02  0.3646E-01  0.1273E-02
  0.5211E+02  0.3525E-01  0.1274E-02
  0.5242E+02  0.3408E-01  0.1275E-02
  0.5273E+02  0.3294E-01  0.1277E-02
  0.5304E+02  0.3185E-01  0.1279E-02
  0.5335E+02  0.3079E-01  0.1281E-02
  0.5366E+02  0.2976E-01  0.1283E-02
  0.5396E+02  0.2878E-01  0.1284E-02
  0.5427E+02  0.2783E-01  0.1285E-02
  0.5458E+02  0.2691E-01  0.1284E-02
  0.5489E+02  0.2603E-01  0.1283E-02
  0.5520E+02  0.2519E-01  0.1280E-02
  0.5551E+02  0.2438E-01  0.1275E-02
  0.5581E+02  0.2360E-01  0.1269E-02
  0.5612E+02  0.2284E-01  0.1262E-02
  0.5643E+02  0.2212E-01  0.1253E-02
  0.5674E+02  0.2142E-01  0.1243E-02
  0.5705E+02  0.2075E-01  0.1231E-02
  0.5736E+02  0.2010E-01  0.1219E-02
  0.5767E+02  0.1946E-01  0.1205E-02
